INFO    2018-08-14 14:26:09,011 [background-preinit] org.hibernate.validator.internal.util.Version  - HV000001: Hibernate Validator 5.3.6.Final
INFO    2018-08-14 14:26:16,069 [restartedMain] org.hibernate.Version  - HHH000412: Hibernate Core {5.0.12.Final}
INFO    2018-08-14 14:26:16,069 [restartedMain] org.hibernate.cfg.Environment  - HHH000206: hibernate.properties not found
INFO    2018-08-14 14:26:16,069 [restartedMain] org.hibernate.cfg.Environment  - HHH000021: Bytecode provider name : javassist
INFO    2018-08-14 14:26:16,163 [restartedMain] org.hibernate.annotations.common.Version  - HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
INFO    2018-08-14 14:26:16,305 [restartedMain] org.hibernate.dialect.Dialect  - HHH000400: Using dialect: org.hibernate.dialect.Oracle10gDialect
WARN    2018-08-14 14:26:16,913 [restartedMain] org.hibernate.orm.deprecation  - HHH90000014: Found use of deprecated [org.hibernate.id.SequenceHiLoGenerator] sequence-based id generator; use org.hibernate.id.enhanced.SequenceStyleGenerator instead.  See Hibernate Domain Model Mapping Guide for details.
WARN    2018-08-14 14:26:16,913 [restartedMain] org.hibernate.orm.deprecation  - HHH90000014: Found use of deprecated [org.hibernate.id.SequenceHiLoGenerator] sequence-based id generator; use org.hibernate.id.enhanced.SequenceStyleGenerator instead.  See Hibernate Domain Model Mapping Guide for details.
WARN    2018-08-14 14:26:16,913 [restartedMain] org.hibernate.orm.deprecation  - HHH90000014: Found use of deprecated [org.hibernate.id.SequenceHiLoGenerator] sequence-based id generator; use org.hibernate.id.enhanced.SequenceStyleGenerator instead.  See Hibernate Domain Model Mapping Guide for details.
WARN    2018-08-14 14:26:16,913 [restartedMain] org.hibernate.orm.deprecation  - HHH90000014: Found use of deprecated [org.hibernate.id.SequenceHiLoGenerator] sequence-based id generator; use org.hibernate.id.enhanced.SequenceStyleGenerator instead.  See Hibernate Domain Model Mapping Guide for details.
WARN    2018-08-14 14:26:16,913 [restartedMain] org.hibernate.orm.deprecation  - HHH90000014: Found use of deprecated [org.hibernate.id.SequenceHiLoGenerator] sequence-based id generator; use org.hibernate.id.enhanced.SequenceStyleGenerator instead.  See Hibernate Domain Model Mapping Guide for details.
WARN    2018-08-14 14:26:16,913 [restartedMain] org.hibernate.orm.deprecation  - HHH90000014: Found use of deprecated [org.hibernate.id.SequenceHiLoGenerator] sequence-based id generator; use org.hibernate.id.enhanced.SequenceStyleGenerator instead.  See Hibernate Domain Model Mapping Guide for details.
WARN    2018-08-14 14:26:16,913 [restartedMain] org.hibernate.orm.deprecation  - HHH90000014: Found use of deprecated [org.hibernate.id.SequenceHiLoGenerator] sequence-based id generator; use org.hibernate.id.enhanced.SequenceStyleGenerator instead.  See Hibernate Domain Model Mapping Guide for details.
WARN    2018-08-14 14:26:16,913 [restartedMain] org.hibernate.orm.deprecation  - HHH90000014: Found use of deprecated [org.hibernate.id.SequenceHiLoGenerator] sequence-based id generator; use org.hibernate.id.enhanced.SequenceStyleGenerator instead.  See Hibernate Domain Model Mapping Guide for details.
WARN    2018-08-14 14:26:16,913 [restartedMain] org.hibernate.orm.deprecation  - HHH90000014: Found use of deprecated [org.hibernate.id.SequenceHiLoGenerator] sequence-based id generator; use org.hibernate.id.enhanced.SequenceStyleGenerator instead.  See Hibernate Domain Model Mapping Guide for details.
WARN    2018-08-14 14:26:16,913 [restartedMain] org.hibernate.orm.deprecation  - HHH90000014: Found use of deprecated [org.hibernate.id.SequenceHiLoGenerator] sequence-based id generator; use org.hibernate.id.enhanced.SequenceStyleGenerator instead.  See Hibernate Domain Model Mapping Guide for details.
INFO    2018-08-14 14:26:35,740 [http-nio-9001-exec-2] com.revature.caliber.email.FlagAlertMailer  - Getting VP's from trainer's table
INFO    2018-08-15 15:18:25,580 [background-preinit] org.hibernate.validator.internal.util.Version  - HV000001: Hibernate Validator 5.3.6.Final
